lvl	Key	Value
>>>	Description	Of course, I&M's activities here don't seem that interesting. Nevertheless, record what you can.
>>>	Teaser	Of course, I&M's activities here don't seem that interesting...
>>>	Name	The business of spores
>>	Name	Compile a Port Report
>>	Description	Here, it's mushrooms for every meal. A sign on the dock, blotched by mildew, promises a reward for anyone who provides an alternative.\r\n [Trade two Strange Catches for a Sooth & Cooper Long-Box.]
>>>	Description	The Affable Factor covers his mouth as he peers into the crate. He turns and stumbles, sobbing, into your arms. "Meat? Oh, bless you! Please, in thanks..." He waves in two sturdy bolegus-fellers bearing a coffin. "Part of a misdelivered consignment. I'm sure you'll find some use for it. And if not - well, there are always buyers."
>>>	Teaser	The Affable Factor covers his mouth as he peers into the crate...
>>>	Name	A desperate joy
>>	Name	Provide a respite from mushrooms
>>	Description	The Affable Factor receives his brother's coffin solemnly. You counsel against looking within.
>>>	Description	"Can't say as it was how he'd have wanted to go, but I don't think he ever intended to go at all." The Affable Factor sighs and lights his pipe. The fungal smoke is all too familiar.\r\n\r\n"Knew he'd meet a bad end with that lot. Too much stirring up trouble, not enough enjoying what they'd got. Seven's an unlucky number, if you ask me." He rests a hand on the coffin. "Thank you anyway. I'll do something appropriate with him."
>>>	Teaser	"Can't say as it was how he'd have wanted to go, but I don't think he ever intended to go at all...
>>>	Name	"A moth, you say?"
>>	Name	Deliver Lorenzo's remains to the Factor
>>	Description	One of the funging workers is watching your crew, and watching the Cladery Heir especially. What does he want?
>>>	Description	The Tomb Colonist draws you a little way away from the Cladery Heir. "Don't tell her you met me," he says, in hoarse rasp. "Her mother cut my voice. Hoped to fix it so I wouldn't be able to look for my daughter. So I wouldn't want to." He wheezes. "Didn't work. Operations never... completely effective. Need to know my daughter's well. Happy. Finding enough patients. Getting enough to eat and so forth."\r\n\r\nIn exchange for the simplest news, he explains himself: "I'm her father," he says. "Ordinary engineer. Not the sort of parent she would want." [If you wish to tell the Heir about this encounter, you can do so by speaking with her.]
>>>	Teaser	The Tomb Colonist draws you a little way away from the Cladery Heir...
>>>	Name	Whispered confidences
>>	Name	A bandaged funger
>>	Description	"I don't like comedians. I am a very serious man. But we agree on one thing: timing. That's why I'm breaking into the Factor's home, and why I need you to distract him until I've found a special itinerary."
>>>	Description	It just so happens that you bump into the Factor on his walk home. What a happy coincidence! You couldn't possibly manage this entire picnic basket by yourself. Overjoyed to have company he joins you on a bench for the next hour, merrily eating sandwiches. You take your leave once you have seen the Gallivant pass by. \r\n\r\nBack on your deck, the Gallivant laughs jovially. His rubies wink in the light. "Iron and Misery will be sending a representative to the contest in Port Cecil. There's a full itinerary for all of the events, tailored for every attendee. I have the dictator's moves mapped."
>>>	Teaser	It just so happens that you bump into the Factor on his walk home...
>>>	Name	A pleasant distraction
>>	Name	Stand in the right place at the right time for the Gnomic Gallivant
>>	Description	Some of the island's fungus is good to eat. Some is poisonous, hallucinogenic or mischievous. Good luck!
>>>	Description	The spores lie thick on your face: they coat your tongues. One crewman begins to whimper. "Oh Christ," he says. "They've reached my heart. I think I'll be harvest yet. Harvest yet!" You have to drag him back to the ship before he's calm again.
>>>	Teaser	The spores lie thick on your face: they coat your tongues...
>>>	Name	A fug of dread
>>	Name	Gather supplies
>>	Description	Join the fungers at their dinner table. Listen to their talk: could the Constable be among them?
>>>	Description	You join the fungers at their tables, breakfast, lunch, and dinner. The same faces turn up every time, without fail, to hear about your zee-adventures. One weepy funger presses his hand into yours, and fights for his composure. "Thank you, [q:Addressed As]. You're the only thing that eases the monotony," he says. The others swallow their fungus reluctantly, and nod. [Check your journal to be reminded of where the Last Constable might be!]
>>>	Teaser	You join the fungers at their tables, breakfast, lunch, and dinner...
>>>	Name	Nothing ever changes
>>	Name	Search for the Last Constable
>>>	Description	You share your zee-stories with the fungers over their meals. Eventually, a small group invites you to 'an entertainment.' That evening, you meet them in a thicket; two kneel around a pit, prodding blemmigans with sticks. The third stands, smoothing his moustache. "I think we're ready to open our fights to the rest," says one of the kneeling men. "Have you brought the - argh!"\r\n\r\nThe moustached man brings a truncheon down on their heads. The blemmigans' cheer, and begin composing celebratory verses. The attacker turns - their moustache has fallen. Ah. This must be the Last Constable.
>>>	Teaser	You share your zee-stories with the fungers over their meals...
>>>	Name	Breaking up the ring
>	Name	Iron & Misery Company Funging Station
>	Description	[q:Addressed As], this storylet should be available to dev characters at all times. If you're playing the game, clicking this stuff may mess you up bad.
>	Teaser	[q:Addressed As], this storylet should be available to dev characters at all times...
>>	Description	Get outfitted.
>>	Name	Outfitter
>>	Description	Engine Power and Fuel Efficiency +++
>>	Name	Supercharge
>>>	Name	Off we go!
>>	Name	Replace Hunters Keep
>>>	Description	[CHANGE_TERRAIN],EmpireofHands/airbase_half,EmpireofHands/airbase_empty
>>>	Teaser	[CHANGE_TERRAIN],EmpireofHands/airbase_half,EmpireofHands/airbase_empty
>>>	Name	-
>>	Name	Fly a zep
>>>	Description	[CHANGE_TERRAIN],EmpireofHands/airbase_half,EmpireofHands/airbase_burnt
>>>	Teaser	[CHANGE_TERRAIN],EmpireofHands/airbase_half,EmpireofHands/airbase_burnt
>>>	Name	Congrats!
>>	Name	Destroy a zep
>>>	Description	This should give you the Godfall background. Actually, not it shouldn't!
>>>	Teaser	This should give you the Godfall background...
>>>	Name	You have won!
>>	Name	Win the game
>>	Name	Something Awaits You
>>	Name	Go to Mutton Island
>>	Description	This gives you +1 of each, so you can keep gaining more (except for Blue Scintillack, it just sets that to one).
>>>	Description	Be sure to try out switching items in your hotbar.
>>>	Teaser	Be sure to try out switching items in your hotbar...
>>>	Name	You have everything you can possibly have now!
>>	Name	Get all combat items
>>>	Description	-
>>>	Teaser	-
>>>>	MoveMessage	You have moved to a new area
>>>>	Description	The waters beneath the Earth.
>>>>	Name	The Unterzee
>>>	Name	-
>>	Name	Out to zee
>>>	Description	-
>>>	Teaser	-
>>>	Name	-
>>	Name	Go to Mt Palmerston
>>	Name	Go to London
>>	Name	DIE
>>	Name	Terror +10
>>	Name	Recent News
>>	Name	All Testing Qualities
>>	Name	Super Stats
>>	Name	Get self a zub
>>	Name	irrepressible hop
>>	Name	cc hop
>>	Name	khan uzb
>>	Description	Rich Quality tests
>>>	Name	You lose :(
>>	Name	Difficulty test
>>>	Name	You win :)
>	Name	Toolkit
>	Description	Now you're a captain: now you belong to the Unterzee. But who were you, before?
>	Teaser	Now you're a captain: now you belong to the Unterzee...
>>	Description	Your urchin-gang cast you out when you grew too tall. You took to sea rather than graduate to larger crimes. That last big score was enough to buy a ship. [This will give you a bonus to Veils, the skill of subtlety and evasion.]
>>>	Description	Your friend, another longshanks, knows a little of gunnery. Only a little, but she can help. [Talk to her to find out why she went to zee.]
>>>	Teaser	Your friend, another longshanks, knows a little of gunnery...
>>>	Name	Low cunning on the high seas
>>	Name	A street urchin!
>>	Description	Educated and articulate, you seek sensation at sea. How lucky you had a legacy to spend. Your long-vanished father had a rich patron, it seems. [This will give you a bonus to Pages, the skill of trickery and knowledge.]
>>>	Description	Experience? You have intuition! And your friend, the Sly Navigator. He's a little vague, but he probably knows what he's doing. Perhaps you can find someone better, eventually. [Talk to the Navigator to find out why he went to zee.]
>>>	Teaser	Experience?
>>>	Name	A wise soul
>>	Name	A poet!
>>	Description	You fought in the invasion of Hell. London's armies lost. You survived. Your loot and your pension have bought you a command. [This will give you a bonus to Iron, the skill of causing direct damage.]
>>>	Description	They will not trifle with you. You promised a job to your acquaintance, the Shady Cook: he'll do until you find someone less disgusting. [Talk to him to find out why he went to zee.]
>>>	Teaser	They will not trifle with you...
>>>	Name	Stern and exacting
>>	Name	Veteran of the Campaign of '68
>>	Description	You fell from grace. There is nothing left ashore for you. An anonymous benefactor has found this way out for you. Perhaps, at zee, you can overcome your appetites. [This will give you a bonus to Hearts, the skill of healing and morale.]
>>>	Description	You know an engineer who doesn't have much time left. She'd like to die at sea. [Talk to her to find out if she'd like to die anywhere in particular.]
>>>	Teaser	You know an engineer who doesn't have much time left...
>>	Name	An ordained priest
>>	Description	Your peculiar theories on time, blood and starlight brought you down to the Neath, the cavern where London lies... and now they take you out to zee. [This will give you a bonus to Mirrors, the skill of detection and perception.]
>>>	Description	Your acquaintance, the Plausible Surgeon, will serve as ship's doctor: until you find someone better. [Talk to him to find out why he went to zee.]
>>>	Teaser	Your acquaintance, the Plausible Surgeon, will serve as ship's doctor: until you find someone better...
>>	Name	A natural philosopher
>	Name	Who were you?
>	Description	"Captain! Captain! An irregularity with the Harbourmaster's Office! They wish to know - what term of address do you prefer ashore?" [This will determine what people call your captain, but your captain's gender is up to you.]
>	Teaser	"Captain! - 
>>	Description	More zee-captains choose this than you might expect.
>>>	Description	Madam it is. [A last piece of advice: explore. Take chances. This captain will probably die. The zee is hungry. But each captain passes on lessons to the next...]
>>>	Teaser	Madam it is...
>>>	Name	Welcome aboard
>>	Name	"Madam."
>>>	Description	Sir it is. [A last piece of advice: explore. Take chances. This captain will probably die. The zee is hungry. But each captain passes on lessons to the next...]
>>>	Teaser	Sir it is...
>>	Name	"Sir."
>>	Description	A term of address popular among those of egalitarian sentiments.
>>>	Description	Citizen! Perhaps you're some sort of rabble-rousing enthusiast, eh? [A last piece of advice: explore. Take chances. This captain will probably die. The zee is hungry. But each captain passes on lessons to the next...]
>>>	Teaser	Citizen! - 
>>	Name	"Citizen."
>>	Description	Perhaps you really do come from a noble family. Who's to know?
>>>	Description	A pleasure to welcome you on board, my Lord. [A last piece of advice: explore. Take chances. This captain will probably die. The zee is hungry. But each captain passes on lessons to the next...]
>>>	Teaser	A pleasure to welcome you on board, my Lord...
>>	Name	"my Lord."
>>	Description	Perhaps you really do come from a noble family. Who's to know?
>>>	Description	A pleasure to welcome you on board, my Lady. [A last piece of advice: explore. Take chances. This captain will probably die. The zee is hungry. But each captain passes on lessons to the next...]
>>>	Teaser	A pleasure to welcome you on board, my Lady...
>>	Name	"my Lady."
>>	Description	'Captain' will do perfectly well ashore as well as at sea, thank you.
>>>	Description	Captain it is! [A last piece of advice: explore. Take chances. This captain will probably die. The zee is hungry. But each captain passes on lessons to the next...]
>>>	Teaser	Captain it is! - 
>>	Name	"Captain."
>	Name	A last scrap of paperwork
>	Description	Hushed voices, tired faces.
>	Teaser	Hushed voices, tired faces...
>>	Description	This isn't the time for rousing speeches, but a quiet word here and there will help.
>>>	Description	Perhaps you shouldn't have made that joke about boiled bat. Zailors take their superstitions seriously.
>>>	Teaser	Perhaps you shouldn't have made that joke about boiled bat...
>>>	Name	Downcast eyes
>>	Name	Encourage them
>>>	Description	It's short rations for you, too. Lead by example.
>>>	Teaser	It's short rations for you, too...
>>>	Name	Brighter eyes
>	Name	Half-rations
>	Description	A grating roar below decks! One among your Clay Men cargo - missing something usual, like obedience, temperance, or a sense of humour.
>	Teaser	A grating roar below decks! - 
>>	Description	You had prudently stowed the Clay Man in your Secure Storage. Let it try to break free. You'll deal with it when it's exhausted. But it won't end well for any other Clay Men you have in there.
>>>	Description	The noise subsides. You open the door. A thick layer of grey dust coats the room. A hammer lies in the centre. Nothing else remains.
>>>	Teaser	The noise subsides...
>>>	Name	Dust
>>	Name	Wait it out
>>	Description	Regrettable, but these things must be done.
>>>	Description	Bullets were powerless. Clubs, barely more so. At last you finished it yourself, with a sledge-hammer: not before it had wreaked havoc among your crew.
>>>	Teaser	Bullets were powerless...
>>>	Name	A ruinous victory
>>	Name	Destroy it!
>>>	Description	Clay Men are strong as stone. Unfinished Men may be fierce as lambs or meek as kittens. This one is not a kitten. At last, it lies shattered.
>>>	Teaser	Clay Men are strong as stone...
>>>	Name	A savage battle
>>	Description	Risky, but these things must be done right.
>>>	Description	The Unfinished Man listens intently to you. Then it puts its head down and charges like a bull. A zailor is smashed like china. Regroup!
>>>	Teaser	The Unfinished Man listens intently to you...
>>>	Name	A communications difficulty
>>	Name	Negotiate
>>>	Description	This Unfinished Man has read Paine, Proudhon, Thoreau. You wouldn't call it peaceful. You wouldn't even really call it reasonable. But it listens: and at last, it departs in a life-boat.
>>>	Teaser	This Unfinished Man has read Paine, Proudhon, Thoreau...
>>>	Name	Discourse
>	Name	UNFINISHED!
>>	Name	Salvo
>>	Name	Flare
>>	Name	Evade
>>	Name	Emergency Repairs
>>	Description	This unlocks if your Illumination reaches 10. It does double damage. Your enemy should use it preferentially.
>>	Name	NOW!
>	Name	_REUSE
>	Description	Her Enduring Majesty's Customs Service works closely with both the Ministry of Public Decency, and the Masters of the Bazaar. Today, they have selected you for an inspection. Don't cheek them.
>	Teaser	Her Enduring Majesty's Customs Service works closely with both the Ministry of Public Decency, and the Masters of the Bazaar...
>>	Description	Pay the customs duty on any untaxed Souls or Romantic Literature you're carrying. Surrender any smuggled sunlight. [This will also reduce your Suspicion, if your Suspicion is 5 or more.]
>>>	Description	"Her Enduring Majesty thanks you," one of the Revenue intones. Did he just hide a smile?
>>>	Teaser	"Her Enduring Majesty thanks you," one of the Revenue intones...
>>>	Name	Clink, clink
>>	Name	Declare all controlled goods
>>	Description	You have nothing to hide. [This will also reduce your Suspicion, if your Suspicion is 5 or more.]
>>>	Description	They roam your deck like wolves. They tear through your belongings like termites. At last they leave.
>>>	Teaser	They roam your deck like wolves...
>>>	Name	Vexed and frustrated
>>	Name	Let them do their worst
>>	Description	Today's duty-officer is a patriot. Perhaps you can claim you're on Admiralty business?
>>>	Description	You hint at secret business. The duty-officer snaps a salute and barks an order. You may pass!
>>>	Teaser	You hint at secret business...
>>>	Name	"Of course!"
>>	Name	Talk your way out of the search
>>	Description	Today's duty-officer is no respecter of the Admiralty. She will look ill on any attempt to frighten her with military credibility. But she's an amateur antiquarian...
>>>	Description	Of course! You two have corresponded - under assumed names, but it's definitely her. She wouldn't dream of importuning such a learned individual as yourself. On your way!
>>>	Teaser	Of course! - 
>>>	Name	An exchange of letters
>>	Name	Talk your way out of the search
>>	Description	They needn't know about every little trinket you have.
>>>	Description	They shake their heads with real sorrow. They confiscate your cargo. They apply a sharp fine. 
>>>	Teaser	They shake their heads with real sorrow...
>>>	Name	Caught you!
>>	Name	Set something aside
>>>	Description	They tramp up and down your freshly mopped stairwells in their nasty boots. They poke and pry and prod. But they find nothing.
>>>	Teaser	They tramp up and down your freshly mopped stairwells in their nasty boots...
>>>	Name	The free-est of trades
>	Name	The Revenue Men
>	Description	She is as elegant as ever - a little careworn, though. You almost think she looks older; but she will never look older.\r\n\r\n"I miss the peace of that place," she says. "Palmerston. There was a little wind that walked in the grey-grass on the mountain's slopes. It carried the smell of ashes. I hated it, because it reminded me of home - but now - now, I wake, and I think I hear it. At the Convention, I had a purpose. We were going to destroy so many things. I lost faith in that purpose, but I have no more faith here. I should never have made you bring me here."
>	Teaser	She is as elegant as ever - a little careworn, though...
>>	Description	Console her as best you can.
>>>	Description	Her tears make a singed wreck of your handkerchief. It's fortunate that she isn't actually weeping on your shoulder. "I don't have a home," she snuffles. "I can't have a home. I should never have been hatched..." You pat her consolingly and wait for her to finish. It takes a while. She seems embarrassed when she leaves: irritated, even, as if she blames you.\r\n\r\nThe remnants of the handkerchief are oddly beautiful, actually, like a singed snowflake. You can probably auction it...
>>>	Teaser	Her tears make a singed wreck of your handkerchief...
>>>	Name	Caustic tears
>>	Name	Sympathy for the deviless
>>	Description	All her problems - every single one - are problems of her own making. Tell her to stiffen her back and stop moping.
